Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",35898,"(+/- 3703 )",32141,"(+/- 3766 )",44247,"(+/- 3217 )",57023,"(+/- 4677 )",26110,"(+/- 3435 )",33606,"(+/- 4013 )",47910,"(+/- 3491 )",36223,"(+/- 3837 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",169902,"(+/- 3365 )",171739,"(+/- 2215 )",162484,"(+/- 2386 )",189473,"(+/- 3244 )",163594,"(+/- 3910 )",158120,"(+/- 2336 )",159239,"(+/- 2159 )",175671,"(+/- 1580 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",4111,"(+/- 1087 )",3654,"(+/- 997 )",11356,"(+/- 1878 )",5230,"(+/- 1493 )",2442,"(+/- 928 )",6848,"(+/- 1649 )",12009,"(+/- 1764 )",5447,"(+/- 1356 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",6.1,"(+/- 0.9 )",5.0,"(+/- 0.9 )",6.0,"(+/- 0.7 )",17.8,"(+/- 1.7 )",4.1,"(+/- 0.7 )",5.7,"(+/- 0.7 )",6.4,"(+/- 0.6 )",6.2,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",9.5,"(+/- 1.7 )",9.1,"(+/- 1.8 )",10.4,"(+/- 1.5 )",27.2,"(+/- 3.1 )",7.4,"(+/- 1.5 )",9.5,"(+/- 1.5 )",10.9,"(+/- 1.1 )",9.7,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",12.4,"(+/- 5.1 )",10.0,"(+/- 4.9 )",10.0,"(+/- 3.2 )",24.4,"(+/- 5.9 )",9.6,"(+/- 4.1 )",9.5,"(+/- 3.9 )",12.4,"(+/- 2.7 )",7.9,"(+/- 2.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",2.5,"(+/- 0.6 )",2.2,"(+/- 0.6 )",3.2,"(+/- 0.5 )",8.5,"(+/- 1.7 )",2.0,"(+/- 0.6 )",3.5,"(+/- 0.7 )",3.5,"(+/- 0.5 )",3.1,"(+/- 0.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",2.4,"(+/- 0.9 )",3.4,"(+/- 1.3 )",4.6,"(+/- 1.2 )",12.3,"(+/- 3.2 )",2.8,"(+/- 1.2 )",5.1,"(+/- 1.6 )",4.7,"(+/- 1.0 )",2.8,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",1.9,"(+/- 1.9 )",2.4,"(+/- 1.9 )",2.2,"(+/- 1.5 )",10.0,"(+/- 8.6 )",2.0,"(+/- 2.0 )",3.3,"(+/- 2.9 )",4.8,"(+/- 2.2 )",2.2,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",20.5,"(+/- 3.7 )",19.6,"(+/- 5.1 )",22.8,"(+/- 4.0 )",32.9,"(+/- 3.5 )",18.5,"(+/- 4.4 )",18.5,"(+/- 3.6 )",23.4,"(+/- 3.1 )",23.8,"(+/- 3.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",29.0,"(+/- 5.7 )",26.9,"(+/- 7.1 )",32.2,"(+/- 5.9 )",41.5,"(+/- 4.6 )",27.7,"(+/- 6.2 )",22.5,"(+/- 4.3 )",29.6,"(+/- 3.7 )",32.6,"(+/- 4.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",52.9,"(+/- 17.8 )",43.0,"(+/- 18.3 )",38.6,"(+/- 13.0 )",38.6,"(+/- 10.1 )",43.8,"(+/- 15.0 )",34.1,"(+/- 12.9 )",34.8,"(+/- 9.6 )",36.6,"(+/- 15.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",9.3,"(+/- 0.9 )",10.7,"(+/- 0.9 )",12.1,"(+/- 0.7 )",22.9,"(+/- 1.6 )",6.8,"(+/- 0.7 )",9.0,"(+/- 0.8 )",9.6,"(+/- 0.6 )",8.3,"(+/- 0.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",12.9,"(+/- 2.3 )",9.8,"(+/- 1.8 )",12.0,"(+/- 1.6 )",33.1,"(+/- 3.6 )",7.7,"(+/- 1.7 )",11.4,"(+/- 1.9 )",12.0,"(+/- 1.4 )",10.7,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",12.3,"(+/- 2.2 )",9.5,"(+/- 1.8 )",11.5,"(+/- 1.6 )",32.7,"(+/- 3.6 )",7.6,"(+/- 1.7 )",11.0,"(+/- 1.9 )",11.3,"(+/- 1.4 )",10.3,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",14.9,"(+/- 3.8 )",10.4,"(+/- 3.2 )",14.2,"(+/- 2.7 )",36.6,"(+/- 4.6 )",9.7,"(+/- 2.8 )",14.0,"(+/- 3.5 )",12.9,"(+/- 2.0 )",10.1,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",11.5,"(+/- 2.3 )",9.2,"(+/- 1.9 )",10.5,"(+/- 1.6 )",31.2,"(+/- 3.9 )",6.8,"(+/- 1.8 )",10.0,"(+/- 1.9 )",10.8,"(+/- 1.6 )",10.4,"(+/- 1.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",8.3,"(+/- 0.7 )",10.9,"(+/- 0.9 )",12.1,"(+/- 0.7 )",19.4,"(+/- 1.1 )",6.5,"(+/- 0.6 )",8.4,"(+/- 0.8 )",9.0,"(+/- 0.5 )",7.6,"(+/- 0.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",7.4,"(+/- 1.4 )",6.0,"(+/- 1.1 )",8.3,"(+/- 1.2 )",14.9,"(+/- 2.3 )",5.8,"(+/- 1.1 )",7.4,"(+/- 0.9 )",7.9,"(+/- 0.8 )",7.6,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",6.8,"(+/- 1.0 )",5.5,"(+/- 0.9 )",6.6,"(+/- 0.8 )",20.6,"(+/- 2.0 )",4.1,"(+/- 0.8 )",6.2,"(+/- 0.9 )",6.7,"(+/- 0.7 )",6.3,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",20.1,"(+/- 1.8 )",25.0,"(+/- 1.9 )",28.7,"(+/- 1.6 )",29.8,"(+/- 1.7 )",17.5,"(+/- 1.5 )",19.1,"(+/- 1.8 )",21.1,"(+/- 1.3 )",16.7,"(+/- 1.4 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",171928,"(+/- 4909 )",200588,"(+/- 3534 )",183981,"(+/- 3930 )",195099,"(+/- 3563 )",170164,"(+/- 4858 )",157850,"(+/- 3689 )",145023,"(+/- 2745 )",166625,"(+/- 3345 )"
Education,"School Enrollment","Nursery school, preschool",9148,"(+/- 1286 )",11946,"(+/- 1589 )",9206,"(+/- 1155 )",7784,"(+/- 1398 )",10976,"(+/- 1386 )",9439,"(+/- 1454 )",9326,"(+/- 1071 )",10284,"(+/- 1341 )"
Education,"School Enrollment",Kindergarten,8746,"(+/- 1318 )",8796,"(+/- 1315 )",7558,"(+/- 938 )",13909,"(+/- 1812 )",9080,"(+/- 1059 )",8511,"(+/- 954 )",6794,"(+/- 827 )",9385,"(+/- 1345 )"
Education,"School Enrollment","Elementary school (grades 1-8)",73532,"(+/- 2859 )",70876,"(+/- 2183 )",67292,"(+/- 1941 )",82437,"(+/- 2926 )",67882,"(+/- 2544 )",66656,"(+/- 1912 )",69581,"(+/- 1882 )",75525,"(+/- 2104 )"
Education,"School Enrollment","High school (grades 9-12)",42764,"(+/- 2539 )",34991,"(+/- 1491 )",34795,"(+/- 1780 )",38212,"(+/- 2079 )",38024,"(+/- 2212 )",34998,"(+/- 1574 )",34631,"(+/- 1753 )",37139,"(+/- 1464 )"
Education,"School Enrollment","College or graduate school",37738,"(+/- 3683 )",73979,"(+/- 3119 )",65130,"(+/- 3145 )",52757,"(+/- 3153 )",44202,"(+/- 3093 )",38246,"(+/- 2904 )",24691,"(+/- 1590 )",34292,"(+/- 2591 )"
Education,"Educational Attainment","Population 25 years and over",498859,"(+/- 4372 )",517064,"(+/- 2097 )",483062,"(+/- 2368 )",454996,"(+/- 3640 )",517004,"(+/- 4820 )",503751,"(+/- 2556 )",507276,"(+/- 2514 )",510010,"(+/- 1880 )"
Education,"Educational Attainment","Less than 9th grade",13316,"(+/- 1926 )",10906,"(+/- 1545 )",13237,"(+/- 1335 )",22962,"(+/- 2503 )",8833,"(+/- 1392 )",12119,"(+/- 1768 )",12713,"(+/- 1370 )",13935,"(+/- 1876 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",26681,"(+/- 2697 )",22314,"(+/- 2464 )",22472,"(+/- 1826 )",40446,"(+/- 3155 )",18309,"(+/- 1761 )",26099,"(+/- 1997 )",27870,"(+/- 2125 )",23007,"(+/- 2180 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",152862,"(+/- 5858 )",118413,"(+/- 4731 )",160324,"(+/- 4419 )",131620,"(+/- 6322 )",138967,"(+/- 4362 )",168999,"(+/- 4783 )",174819,"(+/- 3140 )",176471,"(+/- 4903 )"
Education,"Educational Attainment","Some college, no degree",111856,"(+/- 4335 )",95310,"(+/- 4537 )",100238,"(+/- 3768 )",95577,"(+/- 4670 )",98863,"(+/- 4303 )",108908,"(+/- 4561 )",106053,"(+/- 3463 )",100845,"(+/- 4173 )"
Education,"Educational Attainment","Associate's degree",51912,"(+/- 3364 )",52865,"(+/- 2954 )",61658,"(+/- 3022 )",34531,"(+/- 3073 )",51673,"(+/- 3105 )",58944,"(+/- 2933 )",66047,"(+/- 2674 )",60972,"(+/- 3118 )"
Education,"Educational Attainment","Bachelor's degree",93505,"(+/- 4006 )",130321,"(+/- 4974 )",83511,"(+/- 3685 )",77735,"(+/- 3803 )",130707,"(+/- 4505 )",86671,"(+/- 3651 )",79650,"(+/- 2675 )",93433,"(+/- 3909 )"
Education,"Educational Attainment","Graduate or professional degree",48727,"(+/- 2642 )",86935,"(+/- 4270 )",41622,"(+/- 2283 )",52125,"(+/- 2699 )",69652,"(+/- 3029 )",42011,"(+/- 2496 )",40124,"(+/- 2488 )",41347,"(+/- 2922 )"
Education,"Educational Attainment","Percent high school graduate or higher",92.0,"(+/- 0.7 )",93.6,"(+/- 0.5 )",92.6,"(+/- 0.5 )",86.1,"(+/- 0.8 )",94.8,"(+/- 0.4 )",92.4,"(+/- 0.5 )",92.0,"(+/- 0.5 )",92.8,"(+/- 0.5 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",28.5,"(+/- 0.9 )",42.0,"(+/- 1.1 )",25.9,"(+/- 0.9 )",28.5,"(+/- 1.0 )",38.8,"(+/- 1.0 )",25.5,"(+/- 0.8 )",23.6,"(+/- 0.6 )",26.4,"(+/- 0.9 )"

"Source: 2018 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag","District 06 Estimate","District 06 Flag","District 07 Estimate","District 07 Flag","District 08 Estimate","District 08 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",245541,G,360351,G,278726,G,306701,G,410849,G,307770,G,249122,G,328939,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",107,H,1003,H,312,G,a,D,70,G,382,G,772,G,666,H
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",107,J,273,H,1241,G,a,D,315,G,320,G,612,G,379,H
Business,"Paid employees for pay period including March 12",Utilities,g,D,2012,G,1888,G,g,D,1520,J,1524,G,1326,J,2223,J
Business,"Paid employees for pay period including March 12",Construction,10835,G,17463,G,10607,G,6072,G,19129,G,14788,G,11412,G,16882,G
Business,"Paid employees for pay period including March 12",Manufacturing,49003,G,41055,G,52159,G,32049,G,69017,G,81100,G,58017,G,70398,G
Business,"Paid employees for pay period including March 12","Wholesale trade",12473,G,17663,G,11026,G,14560,H,25941,G,11192,G,9912,G,14723,G
Business,"Paid employees for pay period including March 12","Retail trade",41319,G,45339,G,39974,G,23219,G,49592,G,37655,G,36901,G,40380,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",11851,G,9980,G,17050,G,8562,G,12546,G,10911,G,14092,G,18837,H
Business,"Paid employees for pay period including March 12",Information,2989,H,19109,H,5021,G,7181,G,10480,G,3097,G,2393,G,5216,G
Business,"Paid employees for pay period including March 12","Finance and insurance",5997,G,25628,G,13807,G,30005,H,18521,G,11448,G,10765,H,16894,H
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",2433,G,4978,G,2898,G,4067,G,4896,G,2354,G,1938,G,2840,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",7037,G,25830,G,8400,G,16874,G,19600,G,9728,G,6254,G,10557,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",5137,G,8613,G,6436,H,16044,H,18099,G,14118,G,2944,G,8662,G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",14133,G,17881,G,12807,G,23251,G,26342,G,12298,G,8432,G,18760,H
Business,"Paid employees for pay period including March 12","Educational services",4214,H,5168,G,3231,G,16581,H,13360,G,6564,G,2019,G,5019,H
Business,"Paid employees for pay period including March 12","Health care and social assistance",34339,G,57116,G,46959,H,56535,H,65896,G,43469,G,42759,G,45452,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",4040,G,6186,G,4835,H,8744,G,6453,H,4760,G,3540,G,6547,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",27008,G,38547,G,28298,G,28535,G,31870,G,28454,G,24963,G,30508,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",11413,G,16432,G,11678,G,13249,G,17173,G,13580,G,10039,G,13971,G
Business,"Paid employees for pay period including March 12","Industries not classified",9,J,75,J,99,J,58,G,29,J,28,H,32,G,25,H
Business,"Annual payroll ($1,000)","Total for all sectors",10266665,G,17856952,G,10963794,G,16757151,G,20422361,G,13721136,G,9669025,G,14404665,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",2900,H,56931,J,11608,H,D,D,1696,H,16897,H,30884,G,30272,H
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",5897,H,20931,H,80983,G,D,D,15439,G,22116,G,42123,G,20880,H
Business,"Annual payroll ($1,000)",Utilities,D,D,215739,G,148193,G,D,D,148669,J,174738,G,114403,H,315189,J
Business,"Annual payroll ($1,000)",Construction,684933,G,1138957,G,686501,G,410884,G,1304298,G,1087684,H,692361,G,1078982,G
Business,"Annual payroll ($1,000)",Manufacturing,2769893,G,2243856,G,2467206,G,1853752,G,4181929,G,4422529,G,2715845,G,3744654,G
Business,"Annual payroll ($1,000)","Wholesale trade",767148,G,992039,G,549049,G,1028435,H,1622705,G,579329,G,496959,G,853620,G
Business,"Annual payroll ($1,000)","Retail trade",1154135,G,1288122,G,964894,G,576450,G,1296818,G,918946,G,939750,G,1014158,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",513243,G,408812,G,726581,G,330673,G,547015,G,474497,G,554502,G,857512,H
Business,"Annual payroll ($1,000)",Information,119103,H,1571312,H,322703,G,544016,G,922550,H,134725,H,101809,G,253065,G
Business,"Annual payroll ($1,000)","Finance and insurance",410661,G,2045420,G,748119,G,3021961,H,1447310,G,706505,G,584248,H,1029781,H
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",84163,G,224446,G,86892,G,218262,G,221345,G,72138,G,59021,G,96338,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",360248,G,1978740,G,423479,G,1404278,G,1316980,G,548637,G,296147,G,632792,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",582768,H,779123,G,414044,H,1684867,H,1490519,G,1365306,G,186360,G,666371,G
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",386296,G,571617,G,367326,G,1117408,H,889428,G,391631,G,248717,G,539822,H
Business,"Annual payroll ($1,000)","Educational services",92841,H,123699,G,71707,G,488292,H,851701,H,143010,H,38348,G,145834,G
Business,"Annual payroll ($1,000)","Health care and social assistance",1478915,G,2874282,G,2169181,H,2671909,H,3074149,H,1872075,G,1920699,G,2067071,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",78072,G,123395,G,70894,G,416792,G,97525,G,80804,G,58726,G,288820,H
Business,"Annual payroll ($1,000)","Accommodation and food services",386014,G,663968,G,368016,G,452244,G,462969,G,396177,G,369328,G,437485,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",275840,G,534743,G,285580,G,426105,G,528774,G,312693,G,218509,G,331351,G
Business,"Annual payroll ($1,000)","Industries not classified",132,H,820,G,838,G,1098,G,542,H,699,G,286,G,668,G
Business,"Total Establishments","Total for all sectors",15191,X,19233,X,17032,X,13450,X,21300,X,16747,X,19077,X,18287,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",25,X,50,X,82,X,1,X,20,X,53,X,247,X,74,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",10,X,18,X,32,X,1,X,20,X,28,X,41,X,22,X
Business,"Total Establishments",Utilities,18,X,23,X,58,X,15,X,28,X,39,X,87,X,50,X
Business,"Total Establishments",Construction,1607,X,1813,X,1632,X,594,X,2110,X,1633,X,2205,X,2002,X
Business,"Total Establishments",Manufacturing,1040,X,857,X,942,X,686,X,1493,X,1270,X,1261,X,1242,X
Business,"Total Establishments","Wholesale trade",742,X,935,X,694,X,595,X,1435,X,766,X,746,X,917,X
Business,"Total Establishments","Retail trade",2200,X,2440,X,2443,X,1696,X,2567,X,2312,X,2771,X,2570,X
Business,"Total Establishments","Transportation and warehousing",671,X,551,X,802,X,408,X,598,X,712,X,1016,X,762,X
Business,"Total Establishments",Information,190,X,534,X,330,X,227,X,364,X,231,X,291,X,282,X
Business,"Total Establishments","Finance and insurance",837,X,1247,X,1160,X,754,X,1555,X,1103,X,1058,X,1278,X
Business,"Total Establishments","Real estate and rental and leasing",488,X,875,X,606,X,565,X,735,X,488,X,552,X,529,X
Business,"Total Establishments","Professional, scientific, and technical services",1107,X,2235,X,1119,X,1359,X,2074,X,1158,X,1162,X,1259,X
Business,"Total Establishments","Management of companies and enterprises",86,X,143,X,112,X,163,X,209,X,132,X,74,X,151,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",881,X,994,X,685,X,986,X,1225,X,754,X,764,X,875,X
Business,"Total Establishments","Educational services",181,X,278,X,156,X,265,X,266,X,176,X,138,X,194,X
Business,"Total Establishments","Health care and social assistance",1706,X,1769,X,1868,X,2041,X,2580,X,1959,X,1899,X,1848,X
Business,"Total Establishments","Arts, entertainment, and recreation",274,X,425,X,323,X,199,X,374,X,352,X,406,X,380,X
Business,"Total Establishments","Accommodation and food services",1544,X,2014,X,1945,X,1426,X,1671,X,1685,X,2324,X,1987,X
Business,"Total Establishments","Other services (except public administration)",1572,X,1996,X,1927,X,1441,X,1950,X,1870,X,1996,X,1845,X
Business,"Total Establishments","Industries not classified",12,X,36,X,116,X,28,X,26,X,26,X,39,X,20,X

"Source: 2016 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
"5. Disclosure and Quality Indicator Flag Definitions:"
"D Withheld to avoid disclosing data for individual companies; data are included in higher level totals"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"X Not applicable"
"a 0 to 19 employees"
"b 20 to 99 employees"
"c 100 to 249 employees"
"e 250 to 499 employees"
"f 500 to 999 employees"
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
